id,label,Americas,Africa_Europe,Asia_Australia,ratioAmericas,ratioAfrica_Europe,ratioAsia_Australia,ratioMax,total
เวลา,Asia_Australia,0,0,4,0.0,0.0,1.0,1.0,4
anggota,Asia_Australia,0,0,8,0.0,0.0,1.0,1.0,8
correcto,Americas,10,1,0,0.9090909090909091,0.09090909090909091,0.0,0.9090909090909091,11
beleza,Americas,19,0,0,1.0,0.0,0.0,1.0,19
threatened,Americas,3,1,1,0.6,0.2,0.2,0.6,5
حين,Africa_Europe,1,13,0,0.07142857142857142,0.9285714285714286,0.0,0.9285714285714286,14
migrantes,Americas,1,0,0,1.0,0.0,0.0,1.0,1
vacunas,Americas,10,3,0,0.7692307692307693,0.23076923076923078,0.0,0.7692307692307693,13
tahun,Asia_Australia,1,1,42,0.022727272727272728,0.022727272727272728,0.9545454545454546,0.9545454545454546,44
sandra,Americas,3,0,0,1.0,0.0,0.0,1.0,3
#concours,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
よろしくお願いいたします,Asia_Australia,0,0,6,0.0,0.0,1.0,1.0,6
すごい,Asia_Australia,0,0,3,0.0,0.0,1.0,1.0,3
alert,Americas,29,8,4,0.7073170731707317,0.1951219512195122,0.0975609756097561,0.7073170731707317,41
gameplay,Americas,5,3,0,0.625,0.375,0.0,0.625,8
vergüenza,Americas,18,11,0,0.6206896551724138,0.3793103448275862,0.0,0.6206896551724138,29
کرنے,Asia_Australia,0,3,7,0.0,0.3,0.7,0.7,10
silent,Americas,13,8,2,0.5652173913043478,0.34782608695652173,0.08695652173913043,0.5652173913043478,23
معنى,Africa_Europe,0,5,0,0.0,1.0,0.0,1.0,5
bateu,Americas,21,0,0,1.0,0.0,0.0,1.0,21
ate,Americas,43,2,13,0.7413793103448276,0.034482758620689655,0.22413793103448276,0.7413793103448276,58
shipper,Africa_Europe,1,2,0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,3
bater,Americas,20,1,0,0.9523809523809523,0.047619047619047616,0.0,0.9523809523809523,21
ata,Asia_Australia,8,8,9,0.32,0.32,0.36,0.36,25
ato,Americas,2,0,1,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,3
atl,Americas,7,0,0,1.0,0.0,0.0,1.0,7
atm,Africa_Europe,1,3,3,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,7
kashmir,Asia_Australia,0,0,5,0.0,0.0,1.0,1.0,5
sahi,Asia_Australia,2,2,8,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,12
ati,Asia_Australia,0,2,5,0.0,0.2857142857142857,0.7142857142857143,0.7142857142857143,7
shipped,Americas,5,0,0,1.0,0.0,0.0,1.0,5
walmart,Americas,16,0,0,1.0,0.0,0.0,1.0,16
speedy,Americas,5,3,2,0.5,0.3,0.2,0.5,10
deixar,Americas,59,0,0,1.0,0.0,0.0,1.0,59
today's,Africa_Europe,4,8,3,0.26666666666666666,0.5333333333333333,0.2,0.5333333333333333,15
suggestion,Americas,1,1,0,0.5,0.5,0.0,0.5,2
9pm,Americas,6,1,0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,7
caught,Americas,24,7,2,0.7272727272727273,0.21212121212121213,0.06060606060606061,0.7272727272727273,33
desgraça,Americas,19,0,0,1.0,0.0,0.0,1.0,19
tantos,Americas,11,3,0,0.7857142857142857,0.21428571428571427,0.0,0.7857142857142857,14
está,Americas,379,77,1,0.8293216630196937,0.16849015317286653,0.002188183807439825,0.8293216630196937,457
esté,Americas,15,7,0,0.6818181818181818,0.3181818181818182,0.0,0.6818181818181818,22
channels,Americas,3,1,1,0.6,0.2,0.2,0.6,5
wash,Americas,19,6,1,0.7307692307692307,0.23076923076923078,0.038461538461538464,0.7307692307692307,26
spinning,Americas,2,2,0,0.5,0.5,0.0,0.5,4
الشيخ,Africa_Europe,0,5,0,0.0,1.0,0.0,1.0,5
wasn,Americas,68,19,2,0.7640449438202247,0.21348314606741572,0.02247191011235955,0.7640449438202247,89
الفريق,Africa_Europe,0,9,0,0.0,1.0,0.0,1.0,9
175,Americas,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6
#horny,Americas,2,0,0,1.0,0.0,0.0,1.0,2
เสร,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
170,Americas,3,1,3,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,7
شيء,Africa_Europe,0,43,0,0.0,1.0,0.0,1.0,43
ikke,Africa_Europe,0,18,0,0.0,1.0,0.0,1.0,18
olds,Americas,4,1,0,0.8,0.2,0.0,0.8,5
basketball,Americas,38,0,1,0.9743589743589743,0.0,0.02564102564102564,0.9743589743589743,39
oldu,Africa_Europe,0,35,0,0.0,1.0,0.0,1.0,35
amorcito,Americas,5,0,0,1.0,0.0,0.0,1.0,5
service,Americas,51,31,16,0.5204081632653061,0.3163265306122449,0.16326530612244897,0.5204081632653061,98
lego,Americas,2,2,1,0.4,0.4,0.2,0.4,5
كتير,Africa_Europe,0,15,0,0.0,1.0,0.0,1.0,15
lawsuits,Americas,3,0,0,1.0,0.0,0.0,1.0,3
yüksek,Africa_Europe,0,12,0,0.0,1.0,0.0,1.0,12
الليل,Africa_Europe,0,13,0,0.0,1.0,0.0,1.0,13
@lisboalidi,Americas,3,0,0,1.0,0.0,0.0,1.0,3
berasa,Asia_Australia,0,0,6,0.0,0.0,1.0,1.0,6
caen,Americas,4,0,0,1.0,0.0,0.0,1.0,4
ยมาก,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
needed,Americas,49,14,3,0.7424242424242424,0.21212121212121213,0.045454545454545456,0.7424242424242424,66
ल_प,Asia_Australia,1,1,8,0.1,0.1,0.8,0.8,10
master,Americas,20,11,4,0.5714285714285714,0.3142857142857143,0.11428571428571428,0.5714285714285714,35
listed,Americas,4,1,0,0.8,0.2,0.0,0.8,5
الفل,Africa_Europe,0,9,0,0.0,1.0,0.0,1.0,9
@deborahmeaden,Africa_Europe,0,11,0,0.0,1.0,0.0,1.0,11
عين,Africa_Europe,0,4,0,0.0,1.0,0.0,1.0,4
legs,Americas,7,3,1,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.6363636363636364,11
maksudnya,Asia_Australia,0,0,4,0.0,0.0,1.0,1.0,4
listen,Americas,98,36,10,0.6805555555555556,0.25,0.06944444444444445,0.6805555555555556,144
لقاء,Africa_Europe,0,3,0,0.0,1.0,0.0,1.0,3
